,OBJECTID,link_4,link_3,link_2,hyperlink,projectno,year,GlobalID,Shape__Area,Shape__Length,EditYr,Edited,Link1True,Link2True,Link3True,Link4True
0,1, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65110A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65110.pdf,C65110,1997.0,{0FCA96B2-D9D5-4FC5-B1C2-DE200D55EE68},826987.332,4692.688338,,NO,True,True,NoLink,NoLink
1,2, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C369630.pdf,C369630,2011.0,{AA89E2D4-0424-46AF-8260-D7699CE449FE},531689.4648,8171.163378,,NO,True,NoLink,NoLink,NoLink
2,3, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C55424.pdf,C55424,2008.0,{854D6F96-933A-40B2-839D-CFF0C7BD1EE3},102144.9414,1593.532508,,NO,True,NoLink,NoLink,NoLink
3,4, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C75010.pdf,C75010,1998.0,{966742E9-6B66-4A52-8C87-EE698E3F9C79},48203.48828,2165.879676,2018.0,YES,True,NoLink,NoLink,NoLink
4,5, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C134810.pdf,C134810,2001.0,{6BDAE855-B990-446D-A42A-D0339D4B3D53},17038.34766,511.88343710000004,2017.0,YES,True,NoLink,NoLink,NoLink
5,6, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C17100.pdf,C17100,2000.0,{7FD843BE-C46A-4A91-9CB3-CAE014CE7F45},6120.996094,380.27306569999996,,NO,True,NoLink,NoLink,NoLink
6,7, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C69810.pdf,C69810,1998.0,{776657A6-F257-4C0C-9093-C5F7740203D6},3623.4570310000004,333.35269839999995,,NO,True,NoLink,NoLink,NoLink
7,8, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C268310.pdf,C268310,2009.0,{73677D57-D210-4C71-A84B-AE3818C3C0D8},1754659.0590000001,6661.124636,2017.0,YES,True,NoLink,NoLink,NoLink
8,9, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C61210.pdf,C61210,1996.0,{D1B989EA-0D5C-407C-8119-DB178123E9B4},1528803.4880000001,5603.9775420000005,,NO,True,NoLink,NoLink,NoLink
9,10, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47210.pdf,C47210,1992.0,{3FE4CD71-AA9A-4484-AC65-A3BEF78E2FF6},1437003.1330000001,6797.187505,,NO,True,NoLink,NoLink,NoLink
10,11, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96010.pdf,C96010,2003.0,{1F149632-2AAF-42F1-B31A-C7E403B4E9F1},984464.4297,4362.359178,,NO,True,NoLink,NoLink,NoLink
11,12, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G29500%2873140%29A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G29500%2873140%29.pdf,G29500,1987.0,{0F7C3FFE-6099-4A3A-952A-C97F16F5775E},1312010.121,5128.187888,,NO,True,True,NoLink,NoLink
12,13, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52610.pdf,C52610,1994.0,{12788793-2EA5-4E63-AA44-59B6A5FA8016},1236164.145,6326.948324,,NO,True,NoLink,NoLink,NoLink
13,14, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C15810.pdf,C15810,1990.0,{2DF1CD19-6FED-43A2-A251-6D73F6AA9249},1130689.613,4085.734275,,NO,True,NoLink,NoLink,NoLink
14,15, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96110A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96110.pdf,C96110,2009.0,{05560DCC-B120-4101-BCFE-23A6868ADAA8},1083025.73,4972.362372,2019.0,YES,True,True,NoLink,NoLink
15,16, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C59810.pdf,C59810,1996.0,{2AF1745F-9D44-4C17-BD85-ED111CC5E02A},1039841.215,3831.724937,,NO,True,NoLink,NoLink,NoLink
16,17, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C9.pdf,C9,1952.0,{3CAC64EF-1B71-4154-BE32-3D426E9CB0A2},982014.7422,6349.185304,,NO,True,NoLink,NoLink,NoLink
17,18, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C165210A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C165210.pdf,C165210,2002.0,{19047169-66CA-4A58-BA3F-E59B18B3C698},977271.7344,4819.68277,2018.0,YES,True,True,NoLink,NoLink
18,19, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C227710A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C227710.pdf,C227710,2007.0,{508A6D42-8D43-4287-9250-D8F690B3F5F8},981302.5195,4401.204726,2017.0,YES,True,True,NoLink,NoLink
19,20, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C65310.pdf,C65310,1997.0,{A77A3BFA-A3BA-4111-9EFC-342FF8DF67D1},1299295.098,4852.234101,2019.0,YES,True,NoLink,NoLink,NoLink
20,21, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C267210.pdf,C267210,2008.0,{67A76354-F7AF-43F9-B241-446410A8E593},899806.7773,4372.478023,2018.0,YES,True,NoLink,NoLink,NoLink
21,22, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C96210.pdf,C96210,2004.0,{268CED09-8432-466D-B792-4F37520B7EC7},888069.2617,5703.486787,,YES,True,NoLink,NoLink,NoLink
22,23, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C70010.pdf,C70010,1998.0,{36282F50-BDBD-4CEF-952F-B453CA52387C},850870.2422,4710.958212,2019.0,YES,True,NoLink,NoLink,NoLink
23,24, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C267110.pdf,C267110,2007.0,{EFB1F776-BBF2-48DF-962B-9C4C989FEF77},849575.0586,4043.15429,2018.0,YES,True,NoLink,NoLink,NoLink
24,25, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C312210.pdf,C312210,2010.0,{CD410C69-6F64-4B06-91F7-437DC3A05816},788656.375,4155.6709710000005,2019.0,YES,True,NoLink,NoLink,NoLink
25,26, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C59310A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C59310.pdf,C59310,2000.0,{30FF04A6-DBC5-444A-9A5B-7539CFF4C0CD},795509.2227,3979.3787020000004,2018.0,YES,True,True,NoLink,NoLink
26,27, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C70030.pdf,C70030,1997.0,{8675DEB4-3D9E-447B-9BE4-0040C303EB02},790316.7383,4720.263165,,NO,True,NoLink,NoLink,NoLink
27,28, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C282815.pdf,C282815,2006.0,{76E443DE-6C8D-4CC5-BAB1-950663B7C3A4},295.9960938,116.7252919,,NO,True,NoLink,NoLink,NoLink
28,29, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52310.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52310.pdf,C52310,1993.0,{2DD2BC84-B035-46F7-AF01-5244EC26298A},737946.2578,3704.6353630000003,,NO,True,True,NoLink,NoLink
29,30, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C72910A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C72910.pdf,C72910,2005.0,{F3FBF142-7473-4C26-9D2B-856272BC0AF5},727482.332,4599.174801,,NO,True,True,NoLink,NoLink
30,31, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47610.pdf,C47610,1994.0,{6A7A9809-298A-4AF6-BFA7-40151A7B24FB},727642.7852,3991.34052,,NO,True,NoLink,NoLink,NoLink
31,32, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C158310.pdf,C158310,2004.0,{EBEAE5A9-DCDF-4384-BF63-BA9DC9422A55},709531.3398,4818.5464409999995,,NO,True,NoLink,NoLink,NoLink
32,33, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C79410.pdf,C79410,2000.0,{51F74E3E-0F0F-4B3B-A5BC-FE1B3B59BAB0},687263.2891,5138.445218,,NO,True,NoLink,NoLink,NoLink
33,34, , ,,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C157910.pdf,C157910,2004.0,{9E4D6F35-C2FF-4EC2-95B4-BCD912092DA6},680294.0742,4186.757646999999,2019.0,YES,True,NoLink,NoLink,NoLink
34,35, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C227310.pdf,C227310,2008.0,{C41F8AD0-F7C2-4B80-A5DF-7B3E56FA2D25},643119.7734,5191.710026,2019.0,YES,True,NoLink,NoLink,NoLink
35,36, , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C74510A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C74510.pdf,C74510,2000.0,{6B7FCFA0-5D51-4049-8FF5-7632D4BF517C},621367.8359,3616.3426770000005,2020.0,YES,True,True,NoLink,NoLink
36,37, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C158110.pdf,C158110,2003.0,{C5B8D49B-74DB-4D3B-8A6B-D704D09AB5DE},609654.875,3068.171456,2019.0,YES,True,NoLink,NoLink,NoLink
